"sampid","organism"
"dzd-1","Proteus mirabilis"
"dzd-10","Oxacillin-resistant S. aureus"
"dzd-100","Klebsiella pneumoniae"
"dzd-1000","Oxacillin-resistant S. aureus"
"dzd-1001","Stenotrophomonas maltophilia"
"dzd-1002","Staphylococcus epidermidis"
"dzd-1003","Staphylococcus lugdunensis"
"dzd-1004","Staphylococcus epidermidis"
"dzd-1005","Escherichia coli"
"dzd-1006","Staphylococcus aureus"
"dzd-1008","Oxacillin-resistant S. aureus"
"dzd-1009","Pseudomonas aeruginosa"
"dzd-101","Klebsiella pneumoniae"
"dzd-1011","Staphylococcus aureus"
"dzd-1012","Serratia marcescens"
"dzd-1014","Escherichia coli"
"dzd-1017","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus aureus"
"dzd-1019","Staphylococcus epidermidis"
"dzd-1019","Staphylococcus haemolyticus"
"dzd-102","Klebsiella pneumoniae"
"dzd-1020","Staphylococcus aureus"
"dzd-1020","Staphylococcus epidermidis"
"dzd-1021","Serratia marcescens"
"dzd-1022","Escherichia coli"
"dzd-1023","Staphylococcus capitis"
"dzd-1023","Escherichia coli"
"dzd-1025","Escherichia coli"
"dzd-1025","Staphylococcus capitis"
"dzd-1026","Escherichia coli"
"dzd-1027","Citrobacter freundii"
"dzd-1028","Escherichia coli"
"dzd-1029","Escherichia coli"
"dzd-103","Escherichia coli"
"dzd-1030","Staphylococcus aureus"
"dzd-1031","Stenotrophomonas maltophilia"
"dzd-1032","Citrobacter freundii"
"dzd-1033","Escherichia coli"
"dzd-1034","Staphylococcus pseudointermedius"
"dzd-1035","Pseudomonas aeruginosa"
"dzd-1036","Staphylococcus epidermidis"
"dzd-1036","Staphylococcus haemolyticus"
"dzd-1037","Candida parapsilosis"
"dzd-1037","Staphylococcus aureus"
"dzd-1039","Staphylococcus epidermidis"
"dzd-104","Klebsiella pneumoniae"
"dzd-1040","Enterobacter aerogenes"
"dzd-1041","Pseudomonas aeruginosa"
"dzd-1042","Enterobacter aerogenes"
"dzd-1045","Staphylococcus aureus"
"dzd-1046","Oxacillin-resistant S. aureus"
"dzd-1047","Escherichia coli"
"dzd-1048","Escherichia coli"
"dzd-1049","Escherichia coli"
"dzd-105","Pseudomonas aeruginosa"
"dzd-1050","Escherichia coli"
"dzd-1052","Enterobacter cloacae complex"
"dzd-1053","Staphylococcus aureus"
"dzd-1054","Pseudomonas aeruginosa"
"dzd-1054","Escherichia coli"
"dzd-1055","Escherichia coli"
"dzd-1056","Oxacillin-resistant S. aureus"
"dzd-1057","Escherichia coli"
"dzd-1058","Escherichia coli"
"dzd-1059","Escherichia coli"
"dzd-106","Klebsiella pneumoniae"
"dzd-1060","Escherichia coli"
"dzd-1061","Staphylococcus aureus"
"dzd-1063","Escherichia coli"
"dzd-1064","Oxacillin-resistant S. aureus"
"dzd-1066","Pseudomonas aeruginosa"
"dzd-1067","Citrobacter amalonaticus"
"dzd-1068","Escherichia coli"
"dzd-107","Serratia marcescens"
"dzd-1070","Escherichia coli"
"dzd-1071","Staphylococcus aureus"
"dzd-1076","Enterococcus faecalis"
"dzd-1078","Klebsiella pneumoniae"
"dzd-1079","Staphylococcus aureus"
"dzd-108","Escherichia coli"
"dzd-1080","Escherichia coli"
"dzd-1080","Oxacillin-resistant S. aureus"
"dzd-1081","Enterococcus faecalis"
"dzd-1081","Oxacillin-resistant S. aureus"
"dzd-1082","Oxacillin-resistant S. aureus"
"dzd-1083","Staphylococcus epidermidis"
"dzd-1084","Oxacillin-resistant S. aureus"
"dzd-1086","Escherichia coli"
"dzd-1087","Enterobacter species"
"dzd-1088","Stenotrophomonas maltophilia"
"dzd-1089","Enterobacter species"
"dzd-109","Staphylococcus aureus"
"dzd-1090","Proteus mirabilis"
"dzd-1091","Pseudomonas aeruginosa"
"dzd-1092","Pseudomonas aeruginosa"
"dzd-1093","Staphylococcus epidermidis"
"dzd-1094","Pseudomonas aeruginosa"
"dzd-1095","Proteus mirabilis"
"dzd-1096","Enterobacter species"
"dzd-1097","Escherichia coli"
"dzd-1099","Citrobacter koseri"
"dzd-11","Staphylococcus capitis"
"dzd-110","Escherichia coli"
"dzd-1100","Escherichia coli"
"dzd-1101","Escherichia coli"
"dzd-1102","Oxacillin-resistant S. aureus"
"dzd-1103","Staphylococcus epidermidis"
"dzd-1104","Escherichia coli"
"dzd-1105","Streptococcus agalactiae (Group B)"
"dzd-1106","Escherichia coli"
"dzd-1108","Enterobacter cloacae complex"
"dzd-1109","Escherichia coli"
"dzd-111","Pseudomonas aeruginosa"
"dzd-1110","Morganella morganii"
"dzd-1112","Acinetobacter baumannii"
"dzd-1116","Escherichia coli"
"dzd-1117","Escherichia coli"
"dzd-1118","Pseudomonas aeruginosa"
"dzd-1119","Klebsiella oxytoca"
"dzd-112","Escherichia coli"
"dzd-1120","Klebsiella species"
"dzd-1121","Citrobacter freundii"
"dzd-1122","Escherichia coli"
"dzd-1123","Pantoea agglomerans"
"dzd-1124","Staphylococcus epidermidis"
"dzd-1125","Pseudomonas aeruginosa"
"dzd-1126","Enterobacter cloacae complex"
"dzd-1127","Escherichia coli"
"dzd-1128","Escherichia coli"
"dzd-1129","Klebsiella species"
"dzd-113","Escherichia coli"
"dzd-1130","Escherichia coli"
"dzd-1131","Serratia marcescens"
"dzd-1132","Escherichia coli"
"dzd-1133","Enterococcus faecium"
"dzd-1134","Enterococcus faecalis"
"dzd-1135","Klebsiella oxytoca"
"dzd-1136","Escherichia coli"
"dzd-1138","Escherichia coli"
"dzd-1139","Escherichia coli"
"dzd-114","Oxacillin-resistant S. aureus"
"dzd-1140","Escherichia coli"
"dzd-1141","Escherichia coli"
"dzd-1142","Citrobacter freundii"
"dzd-1142","Coagulase negative Staphylococcus"
"dzd-1143","Staphylococcus epidermidis"
"dzd-1144","Escherichia coli"
"dzd-1146","Staphylococcus auricularis"
"dzd-1146","Coagulase negative Staphylococcus"
"dzd-1147","Pseudomonas aeruginosa"
"dzd-1148","Staphylococcus epidermidis"
"dzd-1148","Staphylococcus caprae"
"dzd-1149","Oxacillin-resistant S. aureus"
"dzd-115","Escherichia coli"
"dzd-1150","Escherichia coli"
"dzd-1151","Enterobacter cloacae complex"
"dzd-1152","Staphylococcus epidermidis"
"dzd-1154","Escherichia coli"
"dzd-1155","Staphylococcus epidermidis"
"dzd-1155","Staphylococcus caprae"
"dzd-1156","Escherichia coli"
"dzd-1157","Escherichia coli"
"dzd-1161","Staphylococcus epidermidis"
"dzd-1162","Oxacillin-resistant S. aureus"
"dzd-1163","Oxacillin-resistant S. aureus"
"dzd-1164","Staphylococcus warneri"
"dzd-1165","Escherichia coli"
"dzd-1166","Klebsiella species"
"dzd-1167","Pseudomonas aeruginosa"
"dzd-1168","Staphylococcus aureus"
"dzd-117","Enterobacter cloacae complex"
"dzd-1170","Klebsiella pneumoniae ssp pneumoniae"
"dzd-1171","Enterococcus faecalis"
"dzd-1173","Escherichia coli"
"dzd-1174","Klebsiella pneumoniae"
"dzd-1175","Escherichia coli"
"dzd-1176","Escherichia coli"
"dzd-1177","Staphylococcus aureus"
"dzd-1178","Escherichia coli"
"dzd-1179","Oxacillin-resistant S. aureus"
"dzd-1179","Enterococcus faecalis"
"dzd-118","Staphylococcus epidermidis"
"dzd-1181","Klebsiella species"
"dzd-1183","Escherichia coli"
"dzd-1184","Proteus mirabilis"
"dzd-1185","Enterobacter aerogenes"
"dzd-1186","Staphylococcus epidermidis"
"dzd-1187","Escherichia coli"
"dzd-1188","Escherichia coli"
"dzd-119","Enterococcus faecalis"
"dzd-1190","Escherichia coli"
"dzd-1192","Escherichia coli"
"dzd-1193","Escherichia coli"
"dzd-1194","Escherichia coli"
"dzd-1195","Oxacillin-resistant S. aureus"
"dzd-1197","Escherichia coli"
"dzd-1199","Escherichia coli"
"dzd-12","Staphylococcus epidermidis"
"dzd-120","Oxacillin-resistant S. aureus"
"dzd-1200","Pseudomonas aeruginosa"
"dzd-1201","Escherichia coli"
"dzd-1203","Escherichia coli"
"dzd-1204","Escherichia coli"
"dzd-1205","Staphylococcus aureus"
"dzd-1206","Staphylococcus aureus"
"dzd-1207","Acinetobacter radioresistens"
"dzd-1209","Escherichia coli"
"dzd-121","Escherichia coli"
"dzd-1210","Escherichia coli"
"dzd-1211","Escherichia coli"
"dzd-1212","Staphylococcus epidermidis"
"dzd-1215","Escherichia coli"
"dzd-1216","Staphylococcus hominis"
"dzd-1216","Coagulase negative Staphylococcus"
"dzd-1217","Escherichia coli"
"dzd-1218","Acinetobacter baumannii complex"
"dzd-122","Pseudomonas aeruginosa"
"dzd-1220","Klebsiella pneumoniae"
"dzd-1221","Enterococcus faecalis"
"dzd-1222","Oxacillin-resistant S. aureus"
"dzd-1225","Pseudomonas aeruginosa"
"dzd-1226","Klebsiella pneumoniae"
"dzd-1227","Klebsiella pneumoniae"
"dzd-1228","Bacillus cereus group"
"dzd-1229","Escherichia coli"
"dzd-123","Escherichia coli"
"dzd-1230","Escherichia coli"
"dzd-1231","Enterococcus faecalis"
"dzd-1232","Escherichia coli"
"dzd-1233","Serratia marcescens"
"dzd-1234","Proteus mirabilis"
"dzd-1235","Klebsiella pneumoniae"
"dzd-1236","Klebsiella pneumoniae"
"dzd-1237","Escherichia coli"
"dzd-1238","Escherichia coli"
"dzd-1239","Escherichia coli"
"dzd-124","Staphylococcus epidermidis"
"dzd-1240","Escherichia coli"
"dzd-1241","Oxacillin-resistant S. aureus"
"dzd-1244","Escherichia coli"
"dzd-1245","Escherichia coli"
"dzd-1246","Klebsiella pneumoniae"
"dzd-1248","Pseudomonas aeruginosa"
"dzd-1249","Klebsiella pneumoniae"
"dzd-125","Klebsiella pneumoniae"
"dzd-1250","Enterococcus faecalis"
"dzd-1252","Coagulase negative Staphylococcus"
"dzd-1252","Staphylococcus auricularis"
"dzd-1253","Escherichia coli"
"dzd-1254","Oxacillin-resistant S. aureus"
"dzd-1255","Klebsiella pneumoniae"
"dzd-1256","Pseudomonas aeruginosa"
"dzd-1258","Acinetobacter baumannii complex"
"dzd-126","Escherichia coli"
"dzd-1261","Oxacillin-resistant S. aureus"
"dzd-1262","Klebsiella pneumoniae"
"dzd-1263","Klebsiella pneumoniae"
"dzd-1264","Klebsiella pneumoniae"
"dzd-127","Oxacillin-resistant S. aureus"
"dzd-129","Staphylococcus aureus"
"dzd-1292","Klebsiella pneumoniae"
"dzd-13","Escherichia coli"
"dzd-130","Escherichia coli"
"dzd-1309","Staphylococcus aureus"
"dzd-131","Oxacillin-resistant S. aureus"
"dzd-1311","Escherichia coli"
"dzd-1312","Staphylococcus aureus"
"dzd-132","Enterococcus faecalis"
"dzd-134","Oxacillin-resistant S. aureus"
"dzd-1346","Klebsiella pneumoniae"
"dzd-1347","Klebsiella pneumoniae"
"dzd-1348","Klebsiella pneumoniae"
"dzd-1354","Staphylococcus aureus"
"dzd-1356","Morganella morganii"
"dzd-1356","Proteus mirabilis"
"dzd-136","Oxacillin-resistant S. aureus"
"dzd-137","Klebsiella pneumoniae"
"dzd-1375","Serratia marcescens"
"dzd-139","Enterococcus faecium"
"dzd-1397","Klebsiella species"
"dzd-1397","Enterobacter cloacae complex"
"dzd-14","Enterococcus faecalis"
"dzd-140","Escherichia coli"
"dzd-141","Pseudomonas aeruginosa"
"dzd-142","Enterobacter species"
"dzd-144","Staphylococcus epidermidis"
"dzd-145","Enterobacter species"
"dzd-147","Escherichia coli"
"dzd-149","Streptococcus agalactiae (Group B)"
"dzd-15","Proteus mirabilis"
"dzd-150","Escherichia coli"
"dzd-151","Escherichia coli"
"dzd-152","Proteus mirabilis"
"dzd-153","Escherichia coli"
"dzd-154","Escherichia coli"
"dzd-155","Escherichia coli"
"dzd-156","Klebsiella pneumoniae"
"dzd-157","Klebsiella pneumoniae"
"dzd-159","Pseudomonas aeruginosa"
"dzd-160","Pseudomonas aeruginosa"
"dzd-161","Enterococcus faecalis"
"dzd-162","Escherichia coli"
"dzd-163","Proteus mirabilis"
"dzd-164","Enterococcus faecalis"
"dzd-165","Escherichia coli"
"dzd-167","Escherichia coli"
"dzd-168","Escherichia coli"
"dzd-169","Escherichia coli"
"dzd-17","Streptococcus agalactiae (Group B)"
"dzd-172","Escherichia coli"
"dzd-173","Klebsiella pneumoniae"
"dzd-174","Klebsiella pneumoniae"
"dzd-175","Escherichia coli"
"dzd-177","Oxacillin-resistant S. aureus"
"dzd-178","Oxacillin-resistant S. aureus"
"dzd-18","Staphylococcus capitis"
"dzd-180","Staphylococcus aureus"
"dzd-182","Oxacillin-resistant S. aureus"
"dzd-183","Pseudomonas aeruginosa"
"dzd-184","Escherichia coli"
"dzd-185","Escherichia coli"
"dzd-185","Acinetobacter baumannii complex"
"dzd-186","Klebsiella pneumoniae"
"dzd-187","Proteus mirabilis"
"dzd-188","Pseudomonas aeruginosa"
"dzd-189","Acinetobacter baumannii complex"
"dzd-189","Escherichia coli"
"dzd-19","Klebsiella pneumoniae"
"dzd-190","Enterobacter aerogenes"
"dzd-191","Escherichia coli"
"dzd-192","Acinetobacter baumannii complex"
"dzd-193","Escherichia coli"
"dzd-194","Escherichia coli"
"dzd-195","Enterococcus faecalis"
"dzd-196","Escherichia coli"
"dzd-197","Escherichia coli"
"dzd-198","Pseudomonas aeruginosa"
"dzd-199","Oxacillin-resistant S. aureus"
"dzd-2","Proteus mirabilis"
"dzd-20","Escherichia coli"
"dzd-200","Pseudomonas aeruginosa"
"dzd-201","Escherichia coli"
"dzd-202","Pseudomonas aeruginosa"
"dzd-203","Morganella morganii"
"dzd-204","Klebsiella pneumoniae"
"dzd-206","Oxacillin-resistant S. aureus"
"dzd-208","Oxacillin-resistant S. aureus"
"dzd-209","Staphylococcus epidermidis"
"dzd-209","Pseudomonas aeruginosa"
"dzd-21","Klebsiella pneumoniae"
"dzd-210","Enterobacter cloacae complex"
"dzd-211","Escherichia coli"
"dzd-212","Escherichia coli"
"dzd-213","Serratia marcescens"
"dzd-215","Staphylococcus epidermidis"
"dzd-216","Oxacillin-resistant S. aureus"
"dzd-217","Enterococcus faecalis"
"dzd-218","Klebsiella pneumoniae"
"dzd-219","Klebsiella pneumoniae"
"dzd-22","Proteus mirabilis"
"dzd-220","Enterococcus faecalis"
"dzd-221","Escherichia coli"
"dzd-222","Escherichia coli"
"dzd-223","Escherichia coli"
"dzd-224","Proteus mirabilis"
"dzd-226","Pseudomonas aeruginosa"
"dzd-227","Staphylococcus epidermidis"
"dzd-227","Coagulase negative Staphylococcus"
"dzd-228","Escherichia coli"
"dzd-229","Klebsiella oxytoca"
"dzd-230","Stenotrophomonas maltophilia"
"dzd-231","Escherichia coli"
"dzd-232","Oxacillin-resistant S. aureus"
"dzd-233","Staphylococcus aureus"
"dzd-234","Enterobacter cloacae/ asburiae"
"dzd-235","Staphylococcus aureus"
"dzd-236","Enterococcus faecalis"
"dzd-237","Enterobacter cloacae/ asburiae"
"dzd-238","Pseudomonas aeruginosa"
"dzd-238","Klebsiella pneumoniae"
"dzd-239","Proteus mirabilis"
"dzd-24","Pseudomonas aeruginosa"
"dzd-240","Proteus mirabilis"
"dzd-241","Klebsiella pneumoniae"
"dzd-242","Staphylococcus epidermidis"
"dzd-242","Pseudomonas aeruginosa"
"dzd-245","Klebsiella pneumoniae"
"dzd-246","Escherichia coli"
"dzd-247","Oxacillin-resistant S. aureus"
"dzd-25","Escherichia coli"
"dzd-250","Morganella morganii"
"dzd-251","Enterobacter species"
"dzd-253","Pseudomonas aeruginosa"
"dzd-254","Morganella morganii"
"dzd-255","Enterococcus faecalis"
"dzd-257","Oxacillin-resistant S. aureus"
"dzd-258","Escherichia coli"
"dzd-259","Enterococcus faecalis"
"dzd-26","Escherichia coli"
"dzd-260","Escherichia coli"
"dzd-261","Escherichia coli"
"dzd-262","Enterococcus faecalis"
"dzd-263","Klebsiella oxytoca"
"dzd-264","Escherichia coli"
"dzd-265","Staphylococcus aureus"
"dzd-266","Oxacillin-resistant S. aureus"
"dzd-267","Escherichia coli"
"dzd-269","Streptococcus agalactiae (Group B)"
"dzd-27","Acinetobacter baumannii complex"
"dzd-270","Klebsiella pneumoniae"
"dzd-271","Escherichia coli"
"dzd-272","Enterococcus faecalis"
"dzd-273","Enterococcus faecium"
"dzd-274","Escherichia coli"
"dzd-275","Klebsiella pneumoniae"
"dzd-277","Providencia stuartii"
"dzd-278","Pseudomonas aeruginosa"
"dzd-279","Escherichia coli"
"dzd-28","Proteus mirabilis"
"dzd-280","Klebsiella pneumoniae"
"dzd-281","Escherichia coli"
"dzd-282","Staphylococcus aureus"
"dzd-283","Staphylococcus epidermidis"
"dzd-284","Staphylococcus aureus"
"dzd-285","Escherichia coli"
"dzd-286","Escherichia coli"
"dzd-287","Staphylococcus epidermidis"
"dzd-288","Staphylococcus haemolyticus"
"dzd-289","Staphylococcus epidermidis"
"dzd-29","Klebsiella pneumoniae"
"dzd-290","Staphylococcus epidermidis"
"dzd-292","Escherichia coli"
"dzd-293","Escherichia coli"
"dzd-294","Proteus mirabilis"
"dzd-296","Escherichia coli"
"dzd-297","Staphylococcus epidermidis"
"dzd-298","Escherichia coli"
"dzd-299","Escherichia coli"
"dzd-3","Pseudomonas aeruginosa"
"dzd-30","Escherichia coli"
"dzd-300","Escherichia coli"
"dzd-301","Pseudomonas aeruginosa"
"dzd-302","Staphylococcus hominis"
"dzd-303","Pseudomonas aeruginosa"
"dzd-303","Klebsiella pneumoniae"
"dzd-304","Oxacillin-resistant S. aureus"
"dzd-305","Pseudomonas aeruginosa"
"dzd-306","Escherichia coli"
"dzd-307","Pseudomonas aeruginosa"
"dzd-308","Enterococcus faecalis"
"dzd-309","Proteus mirabilis"
"dzd-31","Enterobacter aerogenes"
"dzd-310","Acinetobacter ursingii"
"dzd-311","Staphylococcus aureus"
"dzd-311","Enterococcus raffinosus"
"dzd-312","Klebsiella species"
"dzd-313","Oxacillin-resistant S. aureus"
"dzd-315","Pseudomonas aeruginosa"
"dzd-316","Klebsiella pneumoniae"
"dzd-316","Enterococcus faecalis"
"dzd-316","Escherichia coli"
"dzd-317","Proteus species"
"dzd-319","Staphylococcus haemolyticus"
"dzd-319","Enterococcus faecalis"
"dzd-32","Escherichia coli"
"dzd-320","Staphylococcus epidermidis"
"dzd-320","Coagulase negative Staphylococcus"
"dzd-321","Escherichia coli"
"dzd-322","Staphylococcus aureus"
"dzd-323","Escherichia coli"
"dzd-324","Escherichia coli"
"dzd-325","Escherichia coli"
"dzd-326","Escherichia coli"
"dzd-328","Staphylococcus aureus"
"dzd-329","Acinetobacter baumannii complex"
"dzd-33","Klebsiella pneumoniae"
"dzd-330","Escherichia coli"
"dzd-331","Stenotrophomonas maltophilia"
"dzd-333","Enterobacter species"
"dzd-334","Enterococcus faecalis"
"dzd-334","Staphylococcus haemolyticus"
"dzd-335","Pseudomonas aeruginosa"
"dzd-336","Klebsiella pneumoniae"
"dzd-337","Klebsiella pneumoniae"
"dzd-338","Serratia marcescens"
"dzd-339","Escherichia coli"
"dzd-34","Escherichia coli"
"dzd-340","Pseudomonas aeruginosa"
"dzd-341","Klebsiella pneumoniae"
"dzd-341","Enterococcus faecalis"
"dzd-341","Escherichia coli"
"dzd-342","Enterococcus faecalis"
"dzd-343","Staphylococcus aureus"
"dzd-344","Klebsiella pneumoniae"
"dzd-345","Oxacillin-resistant S. aureus"
"dzd-346","Pseudomonas putida"
"dzd-347","Staphylococcus aureus"
"dzd-348","Pseudomonas aeruginosa"
"dzd-349","Staphylococcus epidermidis"
"dzd-35","Staphylococcus aureus"
"dzd-352","Pseudomonas aeruginosa"
"dzd-352","Escherichia coli"
"dzd-353","Escherichia coli"
"dzd-354","Enterococcus faecalis"
"dzd-355","Enterococcus faecalis"
"dzd-356","Escherichia coli"
"dzd-357","Escherichia coli"
"dzd-358","Escherichia coli"
"dzd-359","Escherichia coli"
"dzd-36","Klebsiella pneumoniae"
"dzd-360","Enterococcus faecalis"
"dzd-361","Enterococcus faecium"
"dzd-362","Enterococcus faecalis"
"dzd-363","Klebsiella pneumoniae"
"dzd-364","Staphylococcus aureus"
"dzd-365","Oxacillin-resistant S. aureus"
"dzd-366","Escherichia coli"
"dzd-367","Escherichia coli"
"dzd-367","Pseudomonas aeruginosa"
"dzd-368","Pseudomonas aeruginosa"
"dzd-368","Klebsiella pneumoniae"
"dzd-369","Escherichia coli"
"dzd-37","Staphylococcus epidermidis"
"dzd-370","Escherichia coli"
"dzd-371","Oxacillin-resistant S. aureus"
"dzd-371","Klebsiella pneumoniae"
"dzd-372","Enterococcus faecium"
"dzd-373","Escherichia coli"
"dzd-375","Pseudomonas aeruginosa"
"dzd-376","Klebsiella pneumoniae"
"dzd-377","Escherichia coli"
"dzd-378","Escherichia coli"
"dzd-379","Escherichia coli"
"dzd-380","Stenotrophomonas maltophilia"
"dzd-381","Klebsiella pneumoniae"
"dzd-381","Pseudomonas aeruginosa"
"dzd-382","Proteus mirabilis"
"dzd-383","Pseudomonas aeruginosa"
"dzd-384","Escherichia coli"
"dzd-385","Escherichia coli"
"dzd-386","Oxacillin-resistant S. aureus"
"dzd-389","Candida glabrata"
"dzd-39","Escherichia coli"
"dzd-390","Pseudomonas aeruginosa"
"dzd-391","Klebsiella pneumoniae"
"dzd-392","Staphylococcus epidermidis"
"dzd-393","Klebsiella pneumoniae"
"dzd-394","Klebsiella pneumoniae"
"dzd-395","Staphylococcus haemolyticus"
"dzd-395","Enterococcus faecalis"
"dzd-396","Acinetobacter baumannii complex"
"dzd-397","Enterococcus raffinosus"
"dzd-398","Klebsiella pneumoniae"
"dzd-399","Acinetobacter baumannii complex"
"dzd-4","Escherichia coli"
"dzd-40","Staphylococcus epidermidis"
"dzd-400","Oxacillin-resistant S. aureus"
"dzd-401","Klebsiella pneumoniae"
"dzd-402","Escherichia coli"
"dzd-405","Klebsiella pneumoniae"
