"sampid","organism"
"dzd-405","Enterococcus faecalis"
"dzd-405","Escherichia coli"
"dzd-409","Stenotrophomonas maltophilia"
"dzd-41","Klebsiella pneumoniae"
"dzd-410","Enterococcus faecium"
"dzd-411","Klebsiella pneumoniae"
"dzd-412","Escherichia coli"
"dzd-412","Serratia marcescens"
"dzd-413","Escherichia coli"
"dzd-414","Pseudomonas aeruginosa"
"dzd-415","Staphylococcus lugdunensis"
"dzd-417","Escherichia coli"
"dzd-418","Escherichia coli"
"dzd-419","Escherichia coli"
"dzd-42","Oxacillin-resistant S. aureus"
"dzd-420","Escherichia coli"
"dzd-421","Klebsiella pneumoniae"
"dzd-421","Escherichia coli"
"dzd-422","Escherichia coli"
"dzd-424","Serratia marcescens"
"dzd-424","Escherichia coli"
"dzd-425","Escherichia coli"
"dzd-426","Escherichia coli"
"dzd-427","Escherichia coli"
"dzd-428","Streptococcus agalactiae (Group B)"
"dzd-429","Escherichia coli"
"dzd-43","Oxacillin-resistant S. aureus"
"dzd-430","Klebsiella pneumoniae"
"dzd-431","Enterobacter aerogenes"
"dzd-432","Klebsiella pneumoniae"
"dzd-433","Escherichia coli"
"dzd-434","Morganella morganii"
"dzd-434","Escherichia coli"
"dzd-435","Escherichia coli"
"dzd-437","Proteus mirabilis"
"dzd-437","Staphylococcus capitis"
"dzd-437","Staphylococcus epidermidis"
"dzd-438","Staphylococcus epidermidis"
"dzd-44","Proteus mirabilis"
"dzd-44","Staphylococcus epidermidis"
"dzd-440","Staphylococcus aureus"
"dzd-441","Staphylococcus aureus"
"dzd-443","Staphylococcus lugdunensis"
"dzd-444","Staphylococcus aureus"
"dzd-445","Escherichia coli"
"dzd-446","Staphylococcus epidermidis"
"dzd-447","Staphylococcus lugdunensis"
"dzd-449","Escherichia coli"
"dzd-45","Staphylococcus epidermidis"
"dzd-450","Escherichia coli"
"dzd-451","Enterococcus faecium"
"dzd-452","Acinetobacter baumannii complex"
"dzd-453","Escherichia coli"
"dzd-455","Escherichia coli"
"dzd-456","Escherichia coli"
"dzd-457","Escherichia coli"
"dzd-458","Escherichia coli"
"dzd-459","Escherichia coli"
"dzd-46","Oxacillin-resistant S. aureus"
"dzd-460","Klebsiella pneumoniae"
"dzd-461","Escherichia coli"
"dzd-465","Staphylococcus aureus"
"dzd-466","Escherichia coli"
"dzd-467","Staphylococcus capitis"
"dzd-467","Staphylococcus epidermidis"
"dzd-467","Proteus mirabilis"
"dzd-468","Klebsiella pneumoniae"
"dzd-471","Staphylococcus aureus"
"dzd-472","Escherichia coli"
"dzd-473","Enterococcus faecalis"
"dzd-474","Pseudomonas aeruginosa"
"dzd-475","Escherichia coli"
"dzd-476","Escherichia coli"
"dzd-477","Escherichia coli"
"dzd-478","Escherichia coli"
"dzd-479","Escherichia coli"
"dzd-48","Oxacillin-resistant S. aureus"
"dzd-480","Acinetobacter baumannii complex"
"dzd-481","Escherichia coli"
"dzd-482","Escherichia coli"
"dzd-483","Escherichia coli"
"dzd-485","Pseudomonas aeruginosa"
"dzd-486","Oxacillin-resistant S. aureus"
"dzd-49","Staphylococcus capitis"
"dzd-490","Klebsiella pneumoniae"
"dzd-491","Enterococcus faecalis"
"dzd-492","Enterococcus faecium"
"dzd-493","Pseudomonas aeruginosa"
"dzd-495","Escherichia coli"
"dzd-496","Escherichia coli"
"dzd-497","Escherichia coli"
"dzd-499","Proteus mirabilis"
"dzd-5","Klebsiella species"
"dzd-5","Escherichia coli"
"dzd-50","Escherichia coli"
"dzd-501","Staphylococcus epidermidis"
"dzd-502","Klebsiella pneumoniae"
"dzd-503","Staphylococcus aureus"
"dzd-504","Staphylococcus capitis"
"dzd-505","Escherichia coli"
"dzd-506","Escherichia coli"
"dzd-507","Staphylococcus aureus"
"dzd-508","Pseudomonas aeruginosa"
"dzd-509","Pseudomonas aeruginosa"
"dzd-51","Enterobacter aerogenes"
"dzd-510","Enterococcus faecium"
"dzd-512","Pseudomonas aeruginosa"
"dzd-513","Staphylococcus aureus"
"dzd-514","Escherichia coli"
"dzd-516","Enterococcus faecalis"
"dzd-517","Escherichia coli"
"dzd-518","Escherichia coli"
"dzd-519","Citrobacter freundii"
"dzd-519","Klebsiella oxytoca"
"dzd-52","Enterococcus faecalis"
"dzd-520","Klebsiella pneumoniae"
"dzd-521","Escherichia coli"
"dzd-523","Staphylococcus epidermidis"
"dzd-523","Staphylococcus haemolyticus"
"dzd-524","Acinetobacter baumannii complex"
"dzd-525","Escherichia coli"
"dzd-527","Enterococcus faecalis"
"dzd-528","Enterobacter cloacae complex"
"dzd-529","Klebsiella pneumoniae"
"dzd-53","Escherichia coli"
"dzd-531","Escherichia coli"
"dzd-532","Klebsiella pneumoniae"
"dzd-533","Klebsiella species"
"dzd-535","Enterococcus faecalis"
"dzd-536","Enterococcus faecalis"
"dzd-537","Morganella morganii"
"dzd-537","Proteus vulgaris/penneri"
"dzd-538","Pseudomonas aeruginosa"
"dzd-538","Serratia marcescens"
"dzd-539","Escherichia coli"
"dzd-540","Escherichia coli"
"dzd-543","Staphylococcus aureus"
"dzd-543","Staphylococcus epidermidis"
"dzd-544","Staphylococcus aureus"
"dzd-545","Staphylococcus aureus"
"dzd-546","Escherichia coli"
"dzd-547","Pseudomonas aeruginosa"
"dzd-548","Oxacillin-resistant S. aureus"
"dzd-549","Staphylococcus aureus"
"dzd-550","Pseudomonas aeruginosa"
"dzd-552","Escherichia coli"
"dzd-553","Proteus mirabilis"
"dzd-554","Staphylococcus aureus"
"dzd-555","Escherichia coli"
"dzd-556","Proteus vulgaris/penneri"
"dzd-556","Morganella morganii"
"dzd-557","Staphylococcus epidermidis"
"dzd-558","Staphylococcus epidermidis"
"dzd-558","Staphylococcus haemolyticus"
"dzd-559","Klebsiella pneumoniae"
"dzd-560","Proteus mirabilis"
"dzd-561","Klebsiella pneumoniae"
"dzd-563","Enterococcus faecalis"
"dzd-564","Streptococcus agalactiae (Group B)"
"dzd-566","Pseudomonas aeruginosa"
"dzd-567","Pseudomonas aeruginosa"
"dzd-568","Escherichia coli"
"dzd-569","Pseudomonas aeruginosa"
"dzd-570","Escherichia coli"
"dzd-571","Enterococcus faecalis"
"dzd-572","Escherichia coli"
"dzd-573","Escherichia coli"
"dzd-574","Staphylococcus aureus"
"dzd-575","Enterococcus faecium"
"dzd-578","Escherichia coli"
"dzd-579","Escherichia coli"
"dzd-580","Staphylococcus aureus"
"dzd-580","Staphylococcus epidermidis"
"dzd-581","Escherichia coli"
"dzd-582","Enterococcus faecium"
"dzd-584","Staphylococcus aureus"
"dzd-586","Escherichia coli"
"dzd-588","Oxacillin-resistant S. aureus"
"dzd-589","Oxacillin-resistant S. aureus"
"dzd-589","Staphylococcus aureus"
"dzd-59","Staphylococcus epidermidis"
"dzd-590","Klebsiella species"
"dzd-590","Citrobacter freundii"
"dzd-591","Enterococcus faecium"
"dzd-592","Oxacillin-resistant S. aureus"
"dzd-593","Escherichia coli"
"dzd-594","Escherichia coli"
"dzd-595","Escherichia coli"
"dzd-596","Kluyvera ascorbata"
"dzd-597","Escherichia coli"
"dzd-598","Streptococcus salivarius"
"dzd-598","Enterococcus faecalis"
"dzd-599","Escherichia coli"
"dzd-6","Klebsiella pneumoniae"
"dzd-600","Pseudomonas aeruginosa"
"dzd-602","Pseudomonas aeruginosa"
"dzd-603","Staphylococcus aureus"
"dzd-604","Staphylococcus aureus"
"dzd-605","Klebsiella pneumoniae"
"dzd-606","Staphylococcus simulans"
"dzd-607","Staphylococcus epidermidis"
"dzd-607","Enterococcus faecalis"
"dzd-608","Klebsiella pneumoniae"
"dzd-609","Enterococcus faecium"
"dzd-61","Pseudomonas aeruginosa"
"dzd-611","Oxacillin-resistant S. aureus"
"dzd-612","Oxacillin-resistant S. aureus"
"dzd-612","Pseudomonas aeruginosa"
"dzd-613","Enterococcus faecalis"
"dzd-614","Staphylococcus aureus"
"dzd-615","Acinetobacter baumannii"
"dzd-616","Staphylococcus simulans"
"dzd-617","Enterobacter aerogenes"
"dzd-618","Proteus mirabilis"
"dzd-62","Escherichia coli"
"dzd-620","Staphylococcus warneri"
"dzd-621","Escherichia coli"
"dzd-622","Enterococcus faecium"
"dzd-623","Enterococcus faecalis"
"dzd-624","Oxacillin-resistant S. aureus"
"dzd-625","Pseudomonas aeruginosa"
"dzd-626","Escherichia coli"
"dzd-627","Escherichia coli"
"dzd-628","Oxacillin-resistant S. aureus"
"dzd-629","Enterococcus faecalis"
"dzd-63","Enterococcus faecium"
"dzd-630","Escherichia coli"
"dzd-631","Staphylococcus epidermidis"
"dzd-631","Coagulase negative Staphylococcus"
"dzd-632","Staphylococcus aureus"
"dzd-633","Enterococcus faecalis"
"dzd-634","Pseudomonas aeruginosa"
"dzd-635","Escherichia coli"
"dzd-636","Enterococcus faecalis"
"dzd-639","Enterococcus faecium"
"dzd-64","Staphylococcus hominis"
"dzd-641","Staphylococcus haemolyticus"
"dzd-642","Enterococcus raffinosus"
"dzd-643","Enterococcus faecalis"
"dzd-644","Enterococcus faecalis"
"dzd-646","Coagulase negative Staphylococcus"
"dzd-646","Staphylococcus epidermidis"
"dzd-647","Klebsiella pneumoniae"
"dzd-648","Citrobacter freundii"
"dzd-648","Klebsiella species"
"dzd-649","Stenotrophomonas maltophilia"
"dzd-65","Staphylococcus epidermidis"
"dzd-650","Kluyvera ascorbata"
"dzd-651","Oxacillin-resistant S. aureus"
"dzd-651","Staphylococcus aureus"
"dzd-653","Pseudomonas aeruginosa"
"dzd-654","Escherichia coli"
"dzd-655","Staphylococcus aureus"
"dzd-656","Klebsiella oxytoca"
"dzd-657","Oxacillin-resistant S. aureus"
"dzd-658","Staphylococcus aureus"
"dzd-659","Enterococcus faecium"
"dzd-66","Oxacillin-resistant S. aureus"
"dzd-662","Escherichia coli"
"dzd-663","Escherichia coli"
"dzd-664","Staphylococcus aureus"
"dzd-666","Oxacillin-resistant S. aureus"
"dzd-667","Oxacillin-resistant S. aureus"
"dzd-669","Staphylococcus aureus"
"dzd-669","Oxacillin-resistant S. aureus"
"dzd-67","Klebsiella pneumoniae"
"dzd-670","Escherichia coli"
"dzd-670","Klebsiella pneumoniae"
"dzd-672","Escherichia coli"
"dzd-673","Escherichia coli"
"dzd-674","Enterococcus faecalis"
"dzd-675","Escherichia coli"
"dzd-676","Klebsiella pneumoniae"
"dzd-677","Escherichia coli"
"dzd-679","Enterococcus faecalis"
"dzd-68","Escherichia coli"
"dzd-680","Escherichia coli"
"dzd-681","Oxacillin-resistant S. aureus"
"dzd-683","Klebsiella pneumoniae"
"dzd-684","Pseudomonas aeruginosa"
"dzd-685","Pseudomonas aeruginosa"
"dzd-687","Staphylococcus aureus"
"dzd-69","Proteus mirabilis"
"dzd-690","Citrobacter freundii"
"dzd-691","Escherichia coli"
"dzd-693","Escherichia coli"
"dzd-694","Pseudomonas aeruginosa"
"dzd-696","Enterococcus faecium"
"dzd-696","Staphylococcus epidermidis"
"dzd-697","Serratia marcescens"
"dzd-699","Staphylococcus epidermidis"
"dzd-7","Enterobacter aerogenes"
"dzd-70","Escherichia coli"
"dzd-700","Staphylococcus epidermidis"
"dzd-703","Staphylococcus epidermidis"
"dzd-703","Enterococcus faecium"
"dzd-706","Escherichia coli"
"dzd-708","Staphylococcus aureus"
"dzd-709","Escherichia coli"
"dzd-71","Escherichia coli"
"dzd-710","Pseudomonas aeruginosa"
"dzd-712","Escherichia coli"
"dzd-713","Escherichia coli"
"dzd-714","Enterococcus faecalis"
"dzd-715","Escherichia coli"
"dzd-716","Enterococcus faecalis"
"dzd-717","Staphylococcus hominis"
"dzd-718","Escherichia coli"
"dzd-719","Enterococcus faecium"
"dzd-719","Staphylococcus epidermidis"
"dzd-72","Klebsiella pneumoniae"
"dzd-721","Klebsiella oxytoca"
"dzd-722","Klebsiella pneumoniae"
"dzd-723","Escherichia coli"
"dzd-724","Escherichia coli"
"dzd-725","Escherichia coli"
"dzd-727","Staphylococcus epidermidis"
"dzd-728","Escherichia coli"
"dzd-729","Stenotrophomonas maltophilia"
"dzd-73","Pseudomonas aeruginosa"
"dzd-730","Klebsiella pneumoniae"
"dzd-731","Oxacillin-resistant S. aureus"
"dzd-732","Staphylococcus aureus"
"dzd-733","Enterobacter cloacae complex"
"dzd-734","Staphylococcus aureus"
"dzd-736","Escherichia coli"
"dzd-737","Staphylococcus epidermidis"
"dzd-74","Escherichia coli"
"dzd-740","Acinetobacter baumannii complex"
"dzd-741","Pseudomonas aeruginosa"
"dzd-742","Streptococcus agalactiae (Group B)"
"dzd-742","Streptococcus gordonii"
"dzd-743","Escherichia coli"
"dzd-746","Escherichia coli"
"dzd-747","Escherichia coli"
"dzd-749","Klebsiella pneumoniae"
"dzd-75","Acinetobacter baumannii complex"
"dzd-750","Klebsiella pneumoniae"
"dzd-751","Staphylococcus epidermidis"
"dzd-752","Pseudomonas aeruginosa"
"dzd-752","Oxacillin-resistant S. aureus"
"dzd-753","Enterobacter cloacae/ asburiae"
"dzd-754","Pseudomonas aeruginosa"
"dzd-756","Escherichia coli"
"dzd-757","Escherichia coli"
"dzd-759","Enterococcus faecalis"
"dzd-759","Pseudomonas aeruginosa"
"dzd-76","Proteus mirabilis"
"dzd-760","Proteus mirabilis"
"dzd-761","Escherichia coli"
"dzd-762","Enterococcus faecalis"
"dzd-763","Staphylococcus epidermidis"
"dzd-765","Oxacillin-resistant S. aureus"
"dzd-766","Escherichia coli"
"dzd-767","Staphylococcus aureus"
"dzd-768","Oxacillin-resistant S. aureus"
"dzd-77","Proteus mirabilis"
"dzd-773","Escherichia coli"
"dzd-774","Enterococcus faecium"
"dzd-774","Staphylococcus epidermidis"
"dzd-775","Staphylococcus epidermidis"
"dzd-777","Staphylococcus aureus"
"dzd-778","Enterococcus faecalis"
"dzd-779","Escherichia coli"
"dzd-78","Proteus mirabilis"
"dzd-780","Klebsiella pneumoniae"
"dzd-781","Escherichia coli"
"dzd-782","Oxacillin-resistant S. aureus"
"dzd-784","Escherichia coli"
"dzd-786","Streptococcus agalactiae (Group B)"
"dzd-787","Klebsiella pneumoniae"
"dzd-789","Escherichia coli"
"dzd-79","Staphylococcus epidermidis"
"dzd-790","Coagulase negative Staphylococcus"
"dzd-790","Klebsiella pneumoniae"
"dzd-792","Enterococcus faecalis"
"dzd-792","Staphylococcus epidermidis"
"dzd-793","Staphylococcus aureus"
"dzd-795","Proteus species"
"dzd-796","Pseudomonas aeruginosa"
"dzd-797","Escherichia coli"
"dzd-798","Escherichia coli"
"dzd-799","Escherichia coli"
"dzd-8","Klebsiella oxytoca"
"dzd-80","Proteus mirabilis"
"dzd-800","Escherichia coli"
"dzd-801","Escherichia coli"
"dzd-802","Klebsiella pneumoniae"
"dzd-803","Klebsiella pneumoniae"
"dzd-804","Escherichia coli"
"dzd-805","Escherichia coli"
"dzd-806","Enterococcus faecalis"
"dzd-807","Enterococcus faecalis"
"dzd-808","Oxacillin-resistant S. aureus"
"dzd-81","Staphylococcus aureus"
"dzd-810","Staphylococcus epidermidis"
"dzd-810","Escherichia coli"
"dzd-811","Escherichia coli"
"dzd-812","Escherichia coli"
"dzd-813","Staphylococcus epidermidis"
"dzd-814","Escherichia coli"
"dzd-816","Pseudomonas aeruginosa"
"dzd-818","Klebsiella pneumoniae"
"dzd-819","Staphylococcus epidermidis"
"dzd-82","Staphylococcus aureus"
"dzd-820","Enterobacter aerogenes"
"dzd-821","Enterococcus faecalis"
"dzd-822","Escherichia coli"
"dzd-823","Escherichia coli"
"dzd-824","Oxacillin-resistant S. aureus"
"dzd-827","Escherichia coli"
"dzd-827","Staphylococcus epidermidis"
"dzd-828","Staphylococcus aureus"
"dzd-828","Serratia marcescens"
"dzd-83","Escherichia coli"
"dzd-830","Citrobacter koseri"
"dzd-831","Providencia rettgeri"
"dzd-833","Staphylococcus epidermidis"
"dzd-834","Serratia marcescens"
"dzd-835","Escherichia coli"
"dzd-836","Klebsiella pneumoniae"
"dzd-837","Escherichia coli"
"dzd-838","Klebsiella pneumoniae"
"dzd-839","Escherichia coli"
"dzd-84","Enterococcus faecalis"
"dzd-840","Enterococcus faecalis"
"dzd-841","Pseudomonas aeruginosa"
"dzd-842","Oxacillin-resistant S. aureus"
"dzd-843","Achromobacter dentrificans"
"dzd-844","Pseudomonas aeruginosa"
"dzd-845","Klebsiella pneumoniae"
"dzd-846","Pseudomonas aeruginosa"
"dzd-847","Enterococcus faecium"
"dzd-848","Staphylococcus hominis"
"dzd-849","Staphylococcus epidermidis"
"dzd-85","Staphylococcus simulans"
"dzd-850","Enterobacter aerogenes"
"dzd-851","Enterobacter aerogenes"
"dzd-852","Staphylococcus epidermidis"
"dzd-853","Pseudomonas species"
"dzd-854","Staphylococcus epidermidis"
"dzd-856","Escherichia coli"
"dzd-857","Staphylococcus aureus"
"dzd-858","Escherichia coli"
"dzd-861","Escherichia coli"
"dzd-863","Staphylococcus epidermidis"
"dzd-864","Escherichia coli"
"dzd-865","Staphylococcus epidermidis"
"dzd-866","Staphylococcus epidermidis"
"dzd-867","Staphylococcus epidermidis"
"dzd-868","Enterococcus faecium"
"dzd-869","Staphylococcus epidermidis"
"dzd-87","Escherichia coli"
"dzd-870","Oxacillin-resistant S. aureus"
"dzd-872","Staphylococcus aureus"
"dzd-874","Escherichia coli"
"dzd-875","Escherichia coli"
"dzd-876","Escherichia coli"
"dzd-877","Citrobacter koseri"
"dzd-878","Enterococcus faecalis"
"dzd-879","Escherichia coli"
"dzd-88","Escherichia coli"
"dzd-880","Staphylococcus aureus"
"dzd-882","Pseudomonas aeruginosa"
"dzd-886","Raoultella ornithinolytica"
"dzd-887","Enterobacter species"
"dzd-888","Klebsiella pneumoniae"
"dzd-889","Enterobacter cloacae/ asburiae"
"dzd-89","Enterococcus faecalis"
"dzd-89","Candida glabrata"
"dzd-89","Escherichia coli"
"dzd-890","Escherichia coli"
"dzd-891","Escherichia coli"
"dzd-892","Klebsiella pneumoniae"
"dzd-893","Klebsiella pneumoniae"
"dzd-895","Escherichia coli"
"dzd-897","Escherichia coli"
"dzd-898","Klebsiella pneumoniae"
"dzd-899","Escherichia coli"
"dzd-9","Enterobacter aerogenes"
"dzd-90","Oxacillin-resistant S. aureus"
"dzd-901","Pseudomonas aeruginosa"
"dzd-902","Klebsiella oxytoca"
"dzd-903","Enterobacter species"
"dzd-904","Escherichia coli"
"dzd-907","Staphylococcus aureus"
"dzd-908","Staphylococcus epidermidis"
"dzd-909","Staphylococcus aureus"
"dzd-91","Citrobacter koseri"
"dzd-911","Staphylococcus aureus"
"dzd-912","Staphylococcus aureus"
"dzd-913","Klebsiella pneumoniae"
"dzd-914","Enterococcus faecalis"
"dzd-915","Escherichia coli"
"dzd-916","Escherichia coli"
"dzd-917","Escherichia coli"
"dzd-918","Enterococcus faecium"
"dzd-919","Escherichia coli"
"dzd-92","Enterococcus faecalis"
"dzd-921","Staphylococcus epidermidis"
"dzd-922","Enterococcus faecium"
"dzd-923","Staphylococcus epidermidis"
"dzd-924","Enterococcus faecalis"
"dzd-924","Escherichia coli"
"dzd-925","Klebsiella pneumoniae"
"dzd-926","Staphylococcus epidermidis"
"dzd-929","Enterococcus faecalis"
"dzd-93","Oxacillin-resistant S. aureus"
"dzd-930","Escherichia coli"
"dzd-932","Pseudomonas aeruginosa"
"dzd-933","Oxacillin-resistant S. aureus"
"dzd-934","Escherichia coli"
"dzd-935","Pseudomonas aeruginosa"
"dzd-936","Oxacillin-resistant S. aureus"
"dzd-937","Staphylococcus epidermidis"
"dzd-939","Pseudomonas aeruginosa"
"dzd-94","Klebsiella pneumoniae"
"dzd-940","Enterococcus faecium"
"dzd-941","Staphylococcus aureus"
"dzd-941","Serratia marcescens"
"dzd-942","Staphylococcus epidermidis"
"dzd-943","Escherichia coli"
"dzd-944","Enterococcus casseliflavus"
"dzd-945","Streptococcus dysgalactiae ssp equisimilis"
"dzd-946","Escherichia coli"
"dzd-948","Staphylococcus aureus"
"dzd-949","Oxacillin-resistant S. aureus"
"dzd-95","Escherichia coli"
"dzd-951","Escherichia coli"
"dzd-952","Enterococcus faecalis"
"dzd-952","Escherichia coli"
"dzd-953","Staphylococcus aureus"
"dzd-955","Staphylococcus epidermidis"
"dzd-956","Streptococcus equisimilis"
"dzd-957","Oxacillin-resistant S. aureus"
"dzd-958","Pseudomonas aeruginosa"
"dzd-959","Pseudomonas aeruginosa"
"dzd-961","Citrobacter freundii"
"dzd-963","Enterococcus faecalis"
"dzd-964","Escherichia coli"
"dzd-966","Proteus mirabilis"
"dzd-967","Escherichia coli"
"dzd-968","Staphylococcus aureus"
"dzd-969","Oxacillin-resistant S. aureus"
"dzd-97","Staphylococcus epidermidis"
"dzd-970","Escherichia coli"
"dzd-971","Escherichia coli"
"dzd-972","Escherichia coli"
"dzd-973","Staphylococcus aureus"
"dzd-974","Escherichia coli"
"dzd-975","Staphylococcus aureus"
"dzd-976","Pseudomonas aeruginosa"
"dzd-976","Escherichia coli"
"dzd-977","Klebsiella pneumoniae"
"dzd-978","Escherichia coli"
"dzd-979","Escherichia coli"
"dzd-98","Enterococcus faecalis"
"dzd-980","Escherichia coli"
"dzd-981","Pseudomonas aeruginosa"
"dzd-982","Oxacillin-resistant S. aureus"
"dzd-983","Citrobacter koseri"
"dzd-984","Staphylococcus aureus"
"dzd-985","Proteus mirabilis"
"dzd-989","Escherichia coli"
"dzd-990","Enterobacter aerogenes"
"dzd-991","Escherichia coli"
"dzd-992","Oxacillin-resistant S. aureus"
"dzd-994","Pseudomonas aeruginosa"
"dzd-995","Stenotrophomonas maltophilia"
"dzd-996","Staphylococcus epidermidis"
"dzd-998","Staphylococcus epidermidis"
"dzd-999","Staphylococcus lugdunensis"
